Codename,Title,Actively Bug-Fixed by,Actively Maintained by,Notes,Non-bundled addon,Testing automation
php_unsupported,Detect if a PHP version is used that is no longer maintained by PHP developers.,Composr Core Development Team,,Not regularly Tested. Could potentially break due to third-party changes.,No,async_tests/php_versioning automated test.
external_health_check,Various tools that the Health Check will link out to when manual checks are enabled.,Composr Core Development Team,,Not regularly Tested.,No,Partly tested by sync_tests/__special_links automated test.
google_safe_browsing_api,The Google Safe Browsing API.,Composr Core Development Team,,Not regularly Tested.,No,cli_tests/__health_check automated test to run Health Checks.
google_recaptcha,Google reCAPTCHA,Composr Core Development Team,,Not regularly Tested.,No,cli_tests/__health_check automated test to run Health Checks.
google_search_console,The Google Search Console API.,Composr Core Development Team,,Not regularly Tested.,No,
moz,Moz API.,Composr Core Development Team,,Not regularly Tested.,No,async_tests/_api_moz automated test.
google_analytics,Google Analytics integration.,Composr Core Development Team,,Not regularly Tested.,No,
cors,Running across multiple domains and Cross-Origin Resource Sharing (CORS),Composr Core Development Team,,Not regularly Tested.,No,
inline_editing,Inline Editing,Composr Core Development Team,,"Not regularly Tested, and themes are not typically expected to support it out-of-the-box.",No,
download_pdf_indexing,Download PDF search indexing,Composr Core Development Team,,Not regularly Tested.,No,async_tests/download_indexing automated test.
oembed,Default oEmbed configuration,Composr Core Development Team,,Not regularly Tested.,No,sync_tests/oembed automated test.
facebook,Facebook integration,Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,Yes,
facebook_media,Facebook media (video embed),Composr Core Development Team,,Could potentially break due to third-party changes.,Yes,
tapatalk,Tapatalk,,,Could potentially break due to third-party changes.,Yes,
google_maps,"Google maps (DataMappr, UserMappr)",Composr Core Development Team,,Could potentially break due to third-party changes.,Yes,
hybridauth,Hybridauth login and syndication,Composr Core Development Team,,"Could potentially break due to third-party changes, but we rely on the Hybridauth project to fix any issues and are involved in that project.",Yes,
webdav,WebDav access for The Repository,Composr Core Development Team,,Could potentially break due to third-party changes.,Yes,sync_tests/webdav automated test.
os_windows,Windows servers,Composr Core Development Team,Composr Core Development Team,,No,
os_linux,Linux servers,Composr Core Development Team,Composr Core Development Team,,No,
os_macos,Mac OS servers,Composr Core Development Team, ,Not regularly tested due to needing a testing platform.,No,
infinite_scrolling,Infinite scrolling,Composr Core Development Team,,,No,
two_factor,E-mail+IP two-factor authentication,Composr Core Development Team,,,No,
pop3,POP3 e-mail accounts,,,We allow configuration of using POP3 instead of IMAP for various inbox checking features but do not actively test it works (it relies on PHP's IMAP addon supporting POP3 well),No,
openweathermap,OpenWeatherMap,Composr Core Development Team,,,Yes,async_tests/_api_weather automated test.
